Wavelength,Flux,FluxErr
1.101221460776900494e+04,4.182378499071374388e-12,1.294463242799627302e-14
1.105822870770775262e+04,4.265348462042557526e-12,1.332549676122580453e-14
1.110424280764650030e+04,4.254678190244232636e-12,8.707317925566963043e-15
1.115025690758524615e+04,4.141441213094864095e-12,3.710318000867760677e-15
1.119627100752399383e+04,3.997257811735018506e-12,5.864225925234541148e-15
1.124228510746274151e+04,4.075394524863458908e-12,1.016381776163863288e-14
1.128829920740148918e+04,4.063897937109215424e-12,2.873368508037858244e-15
1.133431330734023504e+04,4.054076540694303791e-12,4.100650282141734513e-15
1.138032740727898272e+04,3.983692733533526718e-12,2.470258441230321584e-15
1.142634150721772858e+04,3.933637544523998901e-12,3.114920554648073409e-15
1.147235560715647625e+04,3.921966663946152626e-12,3.440502259626015030e-15
1.151836970709522211e+04,3.905152779271521265e-12,2.128128371979834219e-15
1.156438380703397161e+04,3.880159280983439520e-12,3.736342091117364580e-15
1.161039790697271746e+04,3.843523386173247636e-12,1.784428303452817753e-15
1.165641200691146332e+04,3.791195403447279254e-12,4.606301898742117485e-15
1.170242610685021100e+04,3.805440196524932360e-12,5.408852311475284967e-15
1.174844020678895868e+04,3.746846844851672026e-12,3.113177065830561246e-15
1.179445430672770635e+04,3.710192164875111807e-12,4.622466206733279899e-15
1.184046840666645221e+04,3.630715493121511691e-12,1.945204572542212440e-15
1.188648250660519989e+04,3.570829594129788195e-12,3.101718187611076912e-15
1.193249660654394575e+04,3.581643825383709477e-12,6.415034459466146685e-15
1.197851070648269342e+04,3.598811305052463240e-12,2.966115033932168565e-15
1.202452480642143928e+04,3.525902704580950562e-12,3.216841143970987566e-15
1.207053890636018878e+04,3.512319236630662748e-12,3.841587168216904453e-15
1.211655300629893463e+04,3.514813168238405812e-12,3.797339834701650756e-15
1.216256710623768231e+04,3.518934716100237100e-12,3.646855614605964235e-15
1.220858120617642817e+04,3.498323871646969463e-12,3.516917664333009022e-15
1.225459530611517584e+04,3.484403357348382454e-12,3.770196327166708515e-15
1.230060940605392352e+04,3.444760177009846188e-12,2.256437079607977715e-15
1.234662350599267120e+04,3.391123227728705704e-12,2.426641204015871274e-15
1.239263760593141706e+04,3.365206129844633816e-12,3.463770358557524261e-15
1.243865170587016473e+04,3.330451848470602893e-12,2.065240181647853888e-15
1.248466580580891059e+04,3.321464558654131253e-12,4.256498558332942754e-15
1.253067990574765827e+04,3.275742767595858194e-12,3.178074230419328497e-15
1.257669400568640413e+04,3.191041185124447121e-12,3.050089397323768018e-15
1.262270810562515362e+04,3.186929304418683350e-12,4.945461154654070578e-15
1.266872220556389948e+04,3.218312991099296251e-12,3.955921762908022403e-15
1.271473630550264716e+04,3.201628993679675093e-12,3.329191940915897895e-15
1.276075040544139301e+04,3.167779290677617606e-12,2.970569594573825926e-15
1.280676450538014069e+04,3.097743302091779798e-12,1.660887061181150973e-15
1.285277860531888837e+04,3.087058829252282794e-12,5.870796654587366261e-15
1.289879270525763422e+04,3.122743066573434196e-12,3.716575103561290697e-15
1.294480680519638190e+04,3.120008620838599907e-12,4.523370394960245262e-15
1.299082090513512776e+04,3.088501970900437900e-12,2.275696462989151079e-15
1.303683500507387544e+04,3.061687645080791541e-12,3.713981113630709687e-15
1.308284910501262129e+04,3.020504938230749373e-12,2.145863554648717356e-15
1.312886320495136897e+04,2.964068316425556189e-12,2.217013054844074493e-15
1.317487730489011665e+04,2.930756274191663793e-12,3.815541537242084876e-15
1.322089140482886432e+04,2.926578488634646000e-12,4.545852988203960692e-15
1.326690550476761018e+04,2.914086677692927131e-12,2.418062048931719155e-15
1.331291960470635968e+04,2.897725219223464248e-12,3.721051707765869867e-15
1.335893370464510554e+04,2.885802415864545692e-12,2.865857290069843462e-15
1.340494780458385321e+04,2.845736767118046062e-12,2.604918458036462902e-15
1.345096190452259907e+04,2.826732012950178875e-12,5.365588146720094661e-15
1.349697600446134675e+04,2.817507651517718535e-12,3.280349764488065352e-15
1.354299010440009260e+04,2.799195575343257233e-12,3.012376073700586906e-15
1.358900420433884028e+04,2.760719039941937157e-12,2.727321542944005656e-15
1.363501830427758614e+04,2.758457528392550548e-12,2.860482947963249249e-15
1.368103240421633564e+04,2.722226491289708383e-12,1.860286493837751055e-15
1.372704650415508149e+04,2.702972273718211185e-12,2.040223755829634328e-15
1.377306060409382917e+04,2.678632518856162964e-12,1.965102518270944950e-15
1.381907470403257685e+04,2.657507033007721396e-12,1.736091374151389314e-15
1.386508880397132270e+04,2.620098094692390578e-12,1.718176249893364278e-15
1.391110290391007038e+04,2.608535582712549617e-12,3.663725337207107510e-15
1.395711700384881624e+04,2.627585419593582554e-12,3.797077765889048776e-15
1.400313110378756392e+04,2.603501079458093726e-12,2.933485723757427566e-15
1.404914520372630977e+04,2.559988665580990414e-12,2.634760436083293537e-15
1.409515930366505745e+04,2.507095586731186479e-12,2.838284894504682865e-15
1.414117340360380331e+04,2.475958182831510609e-12,2.950975416764959640e-15
1.418718750354255099e+04,2.441571849806127043e-12,1.395279602068395796e-15
1.423320160348129866e+04,2.365237146499726771e-12,4.125892526987736225e-15
1.427921570342004634e+04,2.370618559020092995e-12,8.883797212946269484e-15
1.432522980335879402e+04,2.363554839333697785e-12,4.197898836678898003e-15
1.437124390329754169e+04,2.344406493598492156e-12,5.029561403462473186e-15
1.441725800323628755e+04,2.312703965241727598e-12,2.382342767840456066e-15
1.446327210317503523e+04,2.333550820535560386e-12,4.317140347249169955e-15
1.450928620311378108e+04,2.329858964980449435e-12,2.016859662051574642e-15
1.455530030305252876e+04,2.294574885119788575e-12,1.911509950084820871e-15
1.460131440299127462e+04,2.287629216581172996e-12,3.029200309585027551e-15
1.464732850293002230e+04,2.271621592405142738e-12,2.167323873640652219e-15
1.469334260286876815e+04,2.251209755845133175e-12,2.353438121005187254e-15
1.473935670280751583e+04,2.227370972795964926e-12,1.674710138151150765e-15
1.478537080274626169e+04,2.212341142489230027e-12,2.421623413061370647e-15
1.483138490268501118e+04,2.190075663107798636e-12,1.889018380738763872e-15
1.487739900262375704e+04,2.125996739693685977e-12,2.212360206393542001e-15
1.492341310256250290e+04,2.126698887470160085e-12,5.633562248116789800e-15
1.496942720250125240e+04,2.126282339414838946e-12,3.061003910676105395e-15
1.501544130243999825e+04,2.060249638516731820e-12,4.431839015341695128e-15
1.506145540237874593e+04,2.028172239700738162e-12,5.644923596510527795e-15
1.510746950231749179e+04,2.090634653202419853e-12,5.954260468288994378e-15
1.515348360225623946e+04,2.110518899863247768e-12,3.058126124451271277e-15
1.519949770219498532e+04,2.073420641007014595e-12,2.468145173370319238e-15
1.524551180213373300e+04,2.056338249787900369e-12,3.341066518724619298e-15
1.529152590207247886e+04,2.046356150432634823e-12,3.814328231359680775e-15
1.533754000201122835e+04,2.029096789079108863e-12,3.604922080973916465e-15
1.538355410194997421e+04,2.021644696740982041e-12,3.230877594657231054e-15
1.542956820188872189e+04,2.013053261660853597e-12,3.409353849412350068e-15
1.547558230182746956e+04,1.989088425075119812e-12,3.598868516647828978e-15
1.552159640176621724e+04,1.960202144782629874e-12,3.894169556855746381e-15
1.556761050170496310e+04,1.952901745372366426e-12,3.407123768486997270e-15
1.561362460164371078e+04,1.939293436210267779e-12,2.355479399346242053e-15
1.565963870158245663e+04,1.894985792448393321e-12,1.598858794874706732e-15
1.570565280152120431e+04,1.847700050894117135e-12,2.102154172545004997e-15
1.575166690145995017e+04,1.816010917853223104e-12,2.964766276993747857e-15
