Wavelength,Flux,FluxErr
8.201748589377395547e+03,1.503493937015450622e-11,2.457389360062319220e-15
8.225929452717033200e+03,1.463336433041643180e-11,2.996231853326819943e-15
8.250110316056670854e+03,1.428937557999624251e-11,2.836386178204045168e-15
8.274291179396308507e+03,1.462047318835845921e-11,2.834662494823835271e-15
8.298472042735944342e+03,1.490354684229811369e-11,2.749525967840836295e-15
8.322652906075583815e+03,1.505665678612132130e-11,3.035111753378645315e-15
8.346833769415221468e+03,1.490287199715517909e-11,3.141382060268879494e-15
8.371014632754859122e+03,1.489484395157077340e-11,3.153812654969296134e-15
8.395195496094494956e+03,1.481384431989013406e-11,3.329616909443637328e-15
8.419376359434132610e+03,1.458008448528039530e-11,3.551690480093806848e-15
8.443557222773770263e+03,1.453325903071742116e-11,3.415640654794313889e-15
8.467738086113406098e+03,1.449478029944812829e-11,3.613211192230532587e-15
8.491918949453043751e+03,1.427105692876244214e-11,3.715834418611591660e-15
8.516099812792681405e+03,1.425879042685822885e-11,3.394657098139958631e-15
8.540280676132319059e+03,1.420160482568652593e-11,3.517412341667564459e-15
8.564461539471954893e+03,1.413843713636348499e-11,4.019300021213591949e-15
8.588642402811592547e+03,1.424292045907308233e-11,3.860865616749260365e-15
8.612823266151230200e+03,1.480064678181836508e-11,3.640539002970777565e-15
8.637004129490867854e+03,1.453789816471354848e-11,1.827947981615026669e-15
8.661184992830503688e+03,1.472133879616954880e-11,4.503776509286621079e-15
8.685365856170143161e+03,1.430036063161260523e-11,4.227581154101772747e-15
8.709546719509778995e+03,1.393761332973962084e-11,3.686170082234761383e-15
8.733727582849418468e+03,1.408399434442421797e-11,3.889890059690267744e-15
8.757908446189052484e+03,1.462093097044104145e-11,4.084120616917528849e-15
8.782089309528691956e+03,1.490223268576757678e-11,4.388240901698852511e-15
8.806270172868329610e+03,1.496904352677214138e-11,4.358413909175637042e-15
8.830451036207967263e+03,1.496439039521594321e-11,4.750477413498747512e-15
8.854631899547603098e+03,1.471998047870564749e-11,4.772307645908898779e-15
8.878812762887240751e+03,1.495273307521589979e-11,4.493174128287771534e-15
8.902993626226878405e+03,1.495767052339667307e-11,5.449192656135574757e-15
8.927174489566514239e+03,1.497835262489473257e-11,4.353958950662687774e-15
8.951355352906151893e+03,1.492265950154458760e-11,4.888170910041593227e-15
8.975536216245789547e+03,1.470105118765983945e-11,6.242182263930824060e-15
8.999717079585427200e+03,1.501938105386897895e-11,5.207288545385898647e-15
9.023897942925063035e+03,1.510306971660561486e-11,5.726335494651208998e-15
9.048078806264700688e+03,1.495445076516512827e-11,7.837729772452366311e-15
9.072259669604338342e+03,1.499665058794409649e-11,4.872641577618064417e-15
9.096440532943977814e+03,1.512092418932183071e-11,6.890279705283517072e-15
9.120621396283611830e+03,1.484775107349305205e-11,6.701902244763224868e-15
9.144802259623251302e+03,1.500936461911187235e-11,4.976369734562675325e-15
9.168983122962887137e+03,1.530620029363765360e-11,5.116352151969366804e-15
9.193163986302526610e+03,1.535760368728923133e-11,6.830204278751757436e-15
9.217344849642162444e+03,1.531475281627938010e-11,6.301539702064808998e-15
9.241525712981800098e+03,1.528174958663250256e-11,7.871176054501163175e-15
9.265706576321437751e+03,1.510704248283425952e-11,7.830184611172936496e-15
9.289887439661073586e+03,1.505495532344172989e-11,5.952927787851389692e-15
9.314068303000711239e+03,1.516801636004274301e-11,7.505456524117596875e-15
9.338249166340348893e+03,1.512485495738375801e-11,7.807080667189784513e-15
9.362430029679986546e+03,1.525228050649002718e-11,6.916228530148107295e-15
9.386610893019622381e+03,1.482304860566297453e-11,8.395699957770496400e-15
9.410791756359260035e+03,1.485824468850842141e-11,6.704508555625292194e-15
9.434972619698897688e+03,1.487847224105230956e-11,6.513527925913690586e-15
9.459153483038535342e+03,1.492964666968565295e-11,5.980936194923381499e-15
9.483334346378171176e+03,1.503644654865828663e-11,6.072750218383077997e-15
9.507515209717810649e+03,1.511033132640043279e-11,6.365898313949084896e-15
9.531696073057446483e+03,1.507649745107686028e-11,7.025757791584351007e-15
9.555876936397085956e+03,1.503702042724967794e-11,7.831880750669109093e-15
9.580057799736719971e+03,1.505480662014140343e-11,9.162161884261495460e-15
9.604238663076359444e+03,1.504344722066030283e-11,9.203621963674352276e-15
9.628419526415997098e+03,1.500625641390699572e-11,8.377312908320638896e-15
9.652600389755634751e+03,1.484210549901077709e-11,8.506363867086548664e-15
9.676781253095270586e+03,1.483838834435824614e-11,7.336140883937904464e-15
9.700962116434908239e+03,1.482395663837559678e-11,7.490447097568679999e-15
9.725142979774545893e+03,1.484080633242029472e-11,6.943370658503384663e-15
9.749323843114181727e+03,1.468294440398288894e-11,9.276381058607907497e-15
9.773504706453819381e+03,1.478749283518541501e-11,8.009418532856428421e-15
9.797685569793457034e+03,1.478945797598849003e-11,9.433067006741190958e-15
9.821866433133094688e+03,1.484169925834919682e-11,7.115781830919639348e-15
9.846047296472730523e+03,1.493554746208997071e-11,8.717765173759084461e-15
9.870228159812368176e+03,1.490529287044160256e-11,8.922494877378489257e-15
9.894409023152005830e+03,1.468034666405245063e-11,1.078410909615175920e-14
9.918589886491645302e+03,1.461218148629623218e-11,1.313588392728939905e-14
9.942770749831279318e+03,1.425633056220131068e-11,8.115695487758309487e-15
9.966951613170918790e+03,1.439649979909510539e-11,7.758060137444673302e-15
9.991132476510554625e+03,1.438131983577729890e-11,9.019442376087623880e-15
1.001531333985019410e+04,1.430870727506613201e-11,8.555899419948072597e-15
1.003949420318982993e+04,1.426363575330398350e-11,8.794971250343185240e-15
1.006367506652946759e+04,1.429084842391800670e-11,1.008440691178317736e-14
1.008785592986910524e+04,1.415086601779516881e-11,5.503576727015108089e-15
1.011203679320874107e+04,1.439848684424367978e-11,6.084537571082231675e-15
1.013621765654837873e+04,1.444014549444535359e-11,7.738020581968137114e-15
1.016039851988801638e+04,1.448081890834881860e-11,9.379484825052319458e-15
1.018457938322765403e+04,1.415175127098269202e-11,7.905897625624221467e-15
1.020876024656728987e+04,1.432398786587254442e-11,9.668506521042156682e-15
1.023294110990692752e+04,1.436863611169818434e-11,8.323781607413265379e-15
1.025712197324656518e+04,1.441232521886949863e-11,9.737515456320556055e-15
1.028130283658620283e+04,1.418833709240723125e-11,9.507054520049946442e-15
1.030548369992583866e+04,1.423241769225579166e-11,1.027535696434516848e-14
1.032966456326547814e+04,1.414643646430027462e-11,1.220584781831722768e-14
1.035384542660511397e+04,1.394829808680652655e-11,1.095336688635519727e-14
1.037802628994475344e+04,1.402936351973702531e-11,8.490377294773252402e-15
1.040220715328438746e+04,1.408985379665918993e-11,1.042274365117767266e-14
1.042638801662402693e+04,1.415701893499084736e-11,9.331879100283001340e-15
1.045056887996366459e+04,1.408430266279647316e-11,9.567670517005181305e-15
1.047474974330330224e+04,1.397582825949329868e-11,1.107320525917227270e-14
1.049893060664293807e+04,1.398059851087071993e-11,1.213159669465297216e-14
1.052311146998257573e+04,1.392517108629160095e-11,1.251683025160516259e-14
1.054729233332221338e+04,1.397286703201789191e-11,1.216611878185078127e-14
1.057147319666184922e+04,1.396288790012243009e-11,1.246631719524792548e-14
1.059565406000148687e+04,1.385901686237028477e-11,1.064314621970092793e-14
1.061983492334112452e+04,1.394999640213253995e-11,9.184279991272788633e-15
1.064401578668076218e+04,1.379116791941735452e-11,1.013004708895703391e-14
1.066819665002039801e+04,1.372044707597194620e-11,1.142971133220613458e-14
1.069237751336003748e+04,1.370888541634927967e-11,9.246306296031787504e-15
1.071655837669967332e+04,1.367759687125871825e-11,1.177559750712865551e-14
1.074073924003931279e+04,1.368567014221847597e-11,1.018136774033538779e-14
1.076492010337894681e+04,1.373668640119655477e-11,1.078789648427993395e-14
1.078910096671858628e+04,1.368941094662542548e-11,1.154186755544985067e-14
1.081328183005822211e+04,1.363538645485148870e-11,1.290973273605663534e-14
1.083746269339786159e+04,1.361654971174753909e-11,1.040304579828890633e-14
1.086164355673749560e+04,1.359961696414221365e-11,1.132757261695506544e-14
1.088582442007713507e+04,1.349318509769715359e-11,9.242813256063331854e-15
1.091000528341677273e+04,1.352296934628093186e-11,1.139022721102478180e-14
1.093418614675640856e+04,1.347474239576729315e-11,1.109716322654554739e-14
1.095836701009604622e+04,1.331724379847225808e-11,1.170152133685303410e-14
1.098254787343568387e+04,1.331874378456434693e-11,9.726312070190908770e-15
1.100672873677532152e+04,1.338238366918520168e-11,1.183163532665269511e-14
1.103090960011495736e+04,1.339228040655567756e-11,1.009184323145297818e-14
1.105509046345459501e+04,1.331731840391432401e-11,1.144095320507736445e-14
1.107927132679423266e+04,1.328561596640790876e-11,1.261278890732089484e-14
1.110345219013387214e+04,1.327221782072108650e-11,1.415953589868211761e-14
1.112763305347350615e+04,1.330770501967991156e-11,1.344486993842702033e-14
1.115181391681314562e+04,1.314002489837503518e-11,1.109388859658219895e-14
1.117599478015278146e+04,1.323485895782119243e-11,9.282061478764122120e-15
1.120017564349242093e+04,1.323542852169913035e-11,1.134901955315404423e-14
1.122435650683205495e+04,1.326350043444996499e-11,1.280168245448709264e-14
1.124853737017169442e+04,1.298559722750805275e-11,1.129774593364565142e-14
1.127271823351133025e+04,1.302722015986013869e-11,8.350799683866718468e-15
1.129689909685096973e+04,1.299967108998814626e-11,1.241809170295012235e-14
1.132107996019060556e+04,1.294864171077925130e-11,1.346917453386496749e-14
1.134526082353024321e+04,1.283766631894765887e-11,1.683995982706958057e-14
