Wavelength,Flux,FluxErr
1.022249316313464078e+04,3.127744901098641971e-15,2.289503128368996978e-17
1.026890364122177925e+04,5.336688093640193024e-15,2.724406187524048437e-17
1.031531411930891772e+04,8.551161988535939964e-15,2.991344943851723448e-17
1.036172459739605620e+04,1.263917246084014415e-14,4.356948735806955558e-17
1.040813507548319467e+04,1.643766317647513122e-14,4.809988024861412866e-17
1.045454555357033314e+04,2.171793118511826963e-14,4.740085032168016377e-17
1.050095603165747161e+04,3.199713546283879243e-14,4.006050868123020503e-17
1.054736650974461008e+04,4.807466991905882177e-14,6.535659007252407638e-17
1.059377698783175038e+04,6.977796391140536127e-14,7.192675708435023364e-17
1.064018746591888885e+04,8.762967696059985873e-14,7.623194364249577703e-17
1.068659794400602732e+04,1.072459605999575645e-13,7.728726975936658990e-17
1.073300842209316579e+04,1.410127831286724093e-13,1.030336036058351266e-16
1.077941890018030426e+04,2.045093460648132493e-13,2.149582423527301137e-16
1.082582937826744273e+04,3.087935663741852441e-13,2.925757637865958854e-16
1.087223985635458121e+04,4.204297479190715819e-13,3.128585571213752956e-16
1.091865033444171968e+04,5.071586852244727662e-13,1.935761658977755109e-16
1.096506081252885815e+04,5.667522050582534110e-13,2.959172562736641857e-16
1.101147129061599662e+04,6.529295539460618491e-13,2.832216267018323583e-16
1.105788176870313509e+04,7.637112812753070786e-13,3.330817098411084436e-16
1.110429224679027539e+04,8.594975842586091063e-13,2.947239923630121893e-16
1.115070272487741386e+04,9.275542407904685808e-13,1.928867461564058283e-16
1.119711320296455233e+04,9.712839569168773508e-13,1.907157680282349377e-16
1.124352368105169080e+04,9.794210877154895389e-13,2.280284017431220514e-16
1.128993415913882927e+04,1.009550010042884913e-12,1.781676230864793333e-16
1.133634463722596774e+04,1.025925928055906007e-12,2.261147625141655955e-16
1.138275511531310622e+04,1.024760811171816964e-12,1.830699677787485770e-16
1.142916559340024469e+04,9.887736418928215200e-13,1.824272039650548707e-16
1.147557607148738316e+04,1.027124537777821780e-12,2.393800948299407082e-16
1.152198654957452163e+04,1.087036623210694286e-12,2.239822025835422343e-16
1.156839702766166010e+04,1.091178593012474575e-12,1.720253294949704936e-16
1.161480750574879858e+04,1.099141697518258104e-12,2.043589173598453551e-16
1.166121798383593705e+04,1.113229210527067250e-12,2.080295741453710982e-16
1.170762846192307552e+04,1.132501653044927782e-12,2.214120103270499877e-16
1.175403894001021399e+04,1.148426110566731044e-12,2.559061552357202697e-16
1.180044941809735246e+04,1.163019397252125274e-12,1.942824948780060067e-16
1.184685989618449275e+04,1.181625930940989838e-12,2.434857084565652120e-16
1.189327037427163123e+04,1.205210032403012518e-12,2.483432806828073912e-16
1.193968085235876970e+04,1.225031784185827269e-12,1.892946009584669617e-16
1.198609133044590817e+04,1.228954253826959746e-12,2.050610775470712823e-16
1.203250180853304664e+04,1.225279869964205345e-12,2.355287258703301563e-16
1.207891228662018511e+04,1.249191501264633453e-12,2.191803094507320149e-16
1.212532276470732359e+04,1.274486514516631559e-12,2.120199645318614395e-16
1.217173324279446206e+04,1.291157359399600862e-12,2.242250873766691350e-16
1.221814372088160053e+04,1.309455684802914898e-12,2.708096948417209387e-16
1.226455419896874082e+04,1.330879136851433841e-12,2.169851868943525384e-16
1.231096467705587929e+04,1.332922756943372753e-12,2.226959187105975761e-16
1.235737515514301776e+04,1.334831343096137199e-12,2.145622235665756387e-16
1.240378563323015624e+04,1.340581105454878454e-12,2.159252071725616767e-16
1.245019611131729471e+04,1.326847952974593963e-12,1.922285017202837115e-16
1.249660658940443318e+04,1.327958398844079731e-12,2.306214531605406717e-16
1.254301706749157165e+04,1.328102641256278733e-12,1.986842571561791689e-16
1.258942754557871012e+04,1.354796948974341377e-12,2.022257799966500085e-16
1.263583802366584860e+04,1.367871944384281344e-12,2.364164130095876861e-16
1.268224850175298707e+04,1.370942642662919809e-12,2.263850963159794998e-16
1.272865897984012554e+04,1.382087594424913994e-12,2.402071621200374343e-16
1.277506945792726401e+04,1.397766462151850250e-12,2.466446151772712032e-16
1.282147993601440248e+04,1.410558517531529588e-12,2.414259646749503543e-16
1.286789041410154096e+04,1.415419138464800513e-12,2.472562118645435897e-16
1.291430089218867943e+04,1.429908081164204665e-12,2.112297845058145578e-16
1.296071137027581790e+04,1.456066574659127994e-12,1.903483641591997288e-16
1.300712184836295819e+04,1.460912972233372851e-12,2.012212838485224502e-16
1.305353232645009666e+04,1.488750948801084537e-12,2.584470520799089643e-16
1.309994280453723513e+04,1.479666897215724924e-12,2.507618834433606077e-16
1.314635328262437361e+04,1.467695175953360127e-12,2.239313647130608909e-16
1.319276376071151208e+04,1.474545449070300096e-12,2.599608013948887429e-16
1.323917423879865055e+04,1.503723871972136260e-12,3.041316276889078076e-16
1.328558471688578902e+04,1.504500377298038923e-12,2.008379455148476054e-16
1.333199519497292749e+04,1.467261592986013544e-12,2.441896522451202676e-16
1.337840567306006778e+04,1.413522324379562184e-12,2.342322001397079173e-16
1.342481615114720626e+04,1.412860970591221501e-12,2.716555801950144697e-16
1.347122662923434473e+04,1.406630496353815851e-12,2.608021508345399700e-16
1.351763710732148320e+04,1.410055925888803975e-12,2.168768360246261012e-16
1.356404758540862167e+04,1.396807347428446803e-12,2.230008795494038481e-16
1.361045806349576014e+04,1.405715594074887982e-12,2.384293005815874449e-16
1.365686854158289862e+04,1.409386792519235909e-12,2.121688361664870350e-16
