Wavelength,Flux,FluxErr
9.669827805921579056e+03,4.274360420757947725e-18,1.733866176590817424e-18
9.716091545003258943e+03,8.371052760466097700e-18,7.817252904496454961e-19
9.762355284084937011e+03,1.378219018597621175e-17,8.271084912785025180e-19
9.808619023166616898e+03,1.670286874562235215e-17,1.098430722138799349e-18
9.854882762248294966e+03,1.942663184546424494e-17,1.454815411661741803e-18
9.901146501329974853e+03,2.040333859585973056e-17,1.425812146999090796e-18
9.947410240411654740e+03,1.941745308211512001e-17,1.576526584848995170e-18
9.993673979493334627e+03,2.240401976003080355e-17,1.355252974417446967e-18
1.003993771857501451e+04,1.875304908295736569e-17,1.434070884044675565e-18
1.008620145765669440e+04,1.998479788265995055e-17,1.365870930641412200e-18
1.013246519673837065e+04,1.816871580473488036e-17,1.336519335609260447e-18
1.017872893582005054e+04,2.263862632293249308e-17,1.429964257971267483e-18
1.022499267490173042e+04,1.847589838610846296e-17,1.463849553975966413e-18
1.027125641398341031e+04,2.185965088614387979e-17,1.443048499862288651e-18
1.031752015306509020e+04,2.100547428375173460e-17,1.468526219473286827e-18
1.036378389214677009e+04,2.293219407228422629e-17,1.378611812950229687e-18
1.041004763122844815e+04,2.406431396759530270e-17,1.587700936386593956e-18
1.045631137031012622e+04,2.550712991203756521e-17,1.282353113290871307e-18
1.050257510939180611e+04,1.929554241919470830e-17,1.352221956121655427e-18
1.054883884847348600e+04,2.068084594434897316e-17,1.380736373515330321e-18
1.059510258755516588e+04,2.217802948071030516e-17,1.627057350695449928e-18
1.064136632663684577e+04,2.856214831389915687e-17,1.630071776226381658e-18
1.068763006571852384e+04,2.697504617210105286e-17,1.444695796664758179e-18
1.073389380480020372e+04,3.010780469311952930e-17,1.710127895017915278e-18
1.078015754388188361e+04,3.017086077600275413e-17,1.493553038547350632e-18
1.082642128296356168e+04,3.536746838809365563e-17,1.570881028494105493e-18
1.087268502204524157e+04,4.362763936636004357e-17,1.592686311946210637e-18
1.091894876112692145e+04,5.485034354530412268e-17,1.521093446429310880e-18
1.096521250020859952e+04,7.188447394069603508e-17,1.439803012965246289e-18
1.101147623929027941e+04,8.871337578091776578e-17,1.324860159194267159e-18
1.105773997837195930e+04,9.708523400049191997e-17,1.306047860555666927e-18
1.110400371745363918e+04,1.056987879370044678e-16,1.390670556688714265e-18
1.115026745653531725e+04,1.188861978286379636e-16,1.346864399442492875e-18
1.119653119561699714e+04,1.349041970948674083e-16,1.464640363988078215e-18
1.124279493469867521e+04,1.506056404434048525e-16,1.537928072705396841e-18
1.128905867378035509e+04,1.500309603474010001e-16,1.359685380983463926e-18
1.133532241286203498e+04,1.559130807278264075e-16,1.619492634769604422e-18
1.138158615194371487e+04,1.628767012988354188e-16,1.324388581758459889e-18
1.142784989102539475e+04,1.626371071823976913e-16,1.408559552933467587e-18
1.147411363010707464e+04,1.683355784098214567e-16,1.379074983076769721e-18
1.152037736918875271e+04,1.667467609360315988e-16,1.496071466022554530e-18
1.156664110827043078e+04,1.655506008866300219e-16,1.547671870178061634e-18
1.161290484735211066e+04,1.691751018094944342e-16,1.297826587889031379e-18
1.165916858643379055e+04,1.660742537726973801e-16,1.697440509592249111e-18
