Wavelength,Flux,FluxErr
7.408727249282238517e+03,3.077088459669722851e-17,4.331338866503418785e-19
7.433123703049398500e+03,5.929542185570551793e-17,7.117258845171019559e-19
7.457520156816557574e+03,8.724233916657032606e-17,7.502902556707187295e-19
7.481916610583717556e+03,1.233473891494156092e-16,7.242203407393191949e-19
7.506313064350877539e+03,1.754987869130333395e-16,7.246748392150915178e-19
7.530709518118036613e+03,2.376756902295558961e-16,7.401273285558914698e-19
7.555105971885196595e+03,3.200109075127969822e-16,6.701836307766672146e-19
7.579502425652355669e+03,4.634708498729760987e-16,1.149217352830132196e-18
7.603898879419515652e+03,7.394927565565181255e-16,1.379208731728152294e-18
7.628295333186675634e+03,1.148115631107022319e-15,1.775120258717256232e-18
7.652691786953834708e+03,1.619133102157846745e-15,2.045822947833548419e-18
7.677088240720994690e+03,2.138488080660643513e-15,2.886589180684431960e-18
7.701484694488153764e+03,3.081880588595993831e-15,4.597490692550707577e-18
7.725881148255313747e+03,4.579762770076063928e-15,5.330165008160473033e-18
7.750277602022472820e+03,5.960503432995137516e-15,4.466499820387294292e-18
7.774674055789632803e+03,6.856978843787398375e-15,4.277881875648592699e-18
7.799070509556792786e+03,7.785343560360668546e-15,6.013097559342718400e-18
7.823466963323951859e+03,9.398401170302269826e-15,9.161537824282376663e-18
7.847863417091111842e+03,1.198112158739826084e-14,1.089712039393988111e-17
7.872259870858270915e+03,1.488363890190847541e-14,1.138229432257667316e-17
7.896656324625429988e+03,1.728245982096316646e-14,9.662262299877046662e-18
7.921052778392590881e+03,1.912092618663600401e-14,8.764874743294431034e-18
7.945449232159749954e+03,2.062733123534877555e-14,8.808734107697700829e-18
7.969845685926909937e+03,2.237149594027770970e-14,1.098152853808685203e-17
7.994242139694069010e+03,2.471079794607841417e-14,9.705237828738973589e-18
8.018638593461228083e+03,2.618138219155549866e-14,8.936905791932092930e-18
8.043035047228388066e+03,2.779205452064833640e-14,7.941803850977318655e-18
8.067431500995548049e+03,2.856343445652198520e-14,7.783023956697112204e-18
8.091827954762708032e+03,2.920631020298863212e-14,6.240331792909374933e-18
8.116224408529867105e+03,2.974468693429568361e-14,8.571917498962077582e-18
8.140620862297026179e+03,3.079171610161197499e-14,9.643026603194298902e-18
8.165017316064186161e+03,3.240320829276546326e-14,8.858345300209572915e-18
8.189413769831347054e+03,3.331061557700207466e-14,7.071575080321684926e-18
8.213810223598506127e+03,3.358096580269311139e-14,9.249456544837415205e-18
8.238206677365664291e+03,3.560939204579491049e-14,1.363124386248015448e-17
8.262603131132824274e+03,3.800791619867969615e-14,1.297753020226286652e-17
8.286999584899984256e+03,3.972635151563826702e-14,1.322314205330155765e-17
8.311396038667144239e+03,4.135061295881949675e-14,1.075237874704575506e-17
8.335792492434304222e+03,4.202695250466433399e-14,9.535703341382634482e-18
8.360188946201462386e+03,4.278622567801990022e-14,1.220587634564233155e-17
8.384585399968622369e+03,4.405704009212220474e-14,1.153590920569420591e-17
8.408981853735782352e+03,4.532471183441451781e-14,1.361304840999118807e-17
8.433378307502942334e+03,4.674656065699701514e-14,1.245342785059907272e-17
8.457774761270102317e+03,4.783265861266045782e-14,1.155093625995119868e-17
8.482171215037260481e+03,4.929216829114369995e-14,1.147224018456385588e-17
8.506567668804420464e+03,4.968241830796580967e-14,1.006443072651767253e-17
8.530964122571580447e+03,4.956243237726778319e-14,9.812053706667848340e-18
8.555360576338738611e+03,4.841439244898609458e-14,9.233943666652247449e-18
8.579757030105900412e+03,4.892602324302106826e-14,1.962182107269939841e-17
8.604153483873058576e+03,5.290365554772188989e-14,1.176914318827308642e-17
8.628549937640218559e+03,5.269392015360629667e-14,1.063655869431705026e-17
8.652946391407378542e+03,5.282882723243601382e-14,9.525422615488793536e-18
8.677342845174536706e+03,5.138236024505501017e-14,1.048063624630658014e-17
8.701739298941698507e+03,5.365206933231493625e-14,1.982727880955144254e-17
8.726135752708856671e+03,5.765380501264529089e-14,1.934118656734368539e-17
8.750532206476016654e+03,6.014250932678241709e-14,1.708442086883712220e-17
8.774928660243176637e+03,6.174040170752084610e-14,1.509361051001825907e-17
8.799325114010336620e+03,6.167001191264269357e-14,1.590168748437802864e-17
8.823721567777496603e+03,6.179877588623906806e-14,1.545807602637573575e-17
8.848118021544654766e+03,6.374852051926530017e-14,1.935465087604401951e-17
8.872514475311814749e+03,6.587814163670018155e-14,1.716344639463353631e-17
