Wavelength,Flux,FluxErr
1.103621408718960083e+04,2.673870132757506688e-11,7.027161462468399372e-14
1.108234758733067429e+04,2.724187408788558174e-11,6.578857138863919263e-14
1.112848108747174774e+04,2.811487627434053200e-11,3.776147646643461599e-14
1.117461458761282302e+04,2.803611106070993388e-11,1.689005058582552784e-14
1.122074808775389647e+04,2.793120951531193810e-11,1.139495351978499799e-14
1.126688158789496993e+04,2.785497511575675883e-11,1.024352278615038791e-14
1.131301508803604520e+04,2.782755784546557339e-11,1.259279414356476787e-14
1.135914858817711865e+04,2.779739338849168625e-11,9.164309226962302696e-15
1.140528208831819211e+04,2.730807336835230233e-11,5.250712706305045713e-15
1.145141558845926556e+04,2.713006396730400840e-11,1.281927728278761357e-14
1.149754908860034084e+04,2.705855850030932648e-11,6.912653575584086192e-15
1.154368258874141429e+04,2.709948368087099726e-11,5.106058289770137270e-15
1.158981608888248775e+04,2.703223468571874622e-11,4.800784872915716477e-15
1.163594958902356302e+04,2.636662718851834203e-11,5.102647852183474480e-15
1.168208308916463648e+04,2.617558889616555915e-11,1.704334891288535080e-14
1.172821658930570993e+04,2.618262525766342646e-11,1.632722567173905732e-14
1.177435008944678339e+04,2.596043858263267539e-11,9.832188232797163165e-15
1.182048358958785684e+04,2.586753669141124796e-11,6.423854732589204375e-15
1.186661708972893211e+04,2.508944774969691606e-11,7.664753762445962504e-15
1.191275058987000557e+04,2.522768010522330130e-11,1.137200521124168920e-14
1.195888409001107902e+04,2.523504895578841746e-11,8.967282186607638219e-15
1.200501759015215430e+04,2.452435318550287987e-11,6.340166940609792236e-15
1.205115109029322775e+04,2.456583628101939991e-11,1.110437645760480594e-14
1.209728459043430121e+04,2.452138894002101768e-11,1.080354464117395398e-14
1.214341809057537466e+04,2.442104542619898842e-11,1.578601626730243725e-14
1.218955159071644812e+04,2.458045568943058865e-11,9.699961831895809079e-15
1.223568509085752339e+04,2.440577424334127498e-11,6.066108057244745349e-15
1.228181859099859685e+04,2.428844869227095080e-11,5.653761920116611234e-15
1.232795209113967030e+04,2.410163396427108298e-11,1.017983624249112182e-14
1.237408559128074558e+04,2.409076777956182583e-11,7.225037254458761800e-15
1.242021909142181903e+04,2.368332304309181388e-11,4.373564163313541656e-15
1.246635259156289248e+04,2.351992101542605851e-11,5.122177666736001590e-15
1.251248609170396594e+04,2.365002138516340402e-11,5.358548288671206191e-15
1.255861959184504121e+04,2.340761542176414917e-11,4.947909350814124657e-15
1.260475309198611467e+04,2.309285902288567754e-11,4.623213590067270689e-15
1.265088659212718812e+04,2.284710476216392171e-11,4.177307847906078008e-15
1.269702009226826340e+04,2.266534522278265010e-11,7.331479918125319963e-15
1.274315359240933685e+04,2.252172300428741888e-11,1.167201523770128216e-14
1.278928709255041031e+04,2.238380306581061809e-11,7.230082756561008640e-15
1.283542059269148376e+04,2.184755925337876363e-11,4.007183149197063440e-15
1.288155409283255722e+04,2.192394579398232576e-11,1.710698177916467817e-14
1.292768759297363249e+04,2.217961233012008600e-11,8.623513815872849035e-15
1.297382109311470595e+04,2.202112027716142934e-11,7.758998983226976192e-15
1.301995459325578122e+04,2.160700403885582317e-11,8.814069606982441509e-15
1.306608809339685467e+04,2.118404778433627400e-11,8.988450379107486992e-15
1.311222159353792813e+04,2.134364110899985991e-11,4.857652359939853229e-15
1.315835509367900158e+04,2.097023191054875110e-11,5.653122820522975465e-15
1.320448859382007504e+04,2.074234412801333113e-11,1.126121160314031044e-14
1.325062209396115031e+04,2.095337727138407180e-11,4.460857235278498052e-15
1.329675559410222377e+04,2.089864365114075394e-11,3.765770917699453112e-15
