Wavelength,Flux,FluxErr
9.730108251938931062e+03,6.786228694238452535e-17,1.486821419921936179e-18
9.776333365652728389e+03,1.418813499206093871e-16,3.288789016674782497e-18
9.822558479366525717e+03,2.421534865403150262e-16,3.792610680471248014e-18
9.868783593080324863e+03,3.406052373312520978e-16,3.908882642641282042e-18
9.915008706794122190e+03,3.943021897552859970e-16,3.449046687011001508e-18
9.961233820507917699e+03,4.172159195671128723e-16,4.117492194053254459e-18
1.000745893422171685e+04,5.225069988042545323e-16,3.826265260157318152e-18
1.005368404793551417e+04,6.867366835080123795e-16,2.643106543887875988e-18
1.009990916164931150e+04,8.795342016716787422e-16,4.828684437653805300e-18
1.014613427536311065e+04,1.059628044007152070e-15,4.231324926220572908e-18
1.019235938907690615e+04,1.188766543416543386e-15,5.099508538411997310e-18
1.023858450279070530e+04,1.489254340788385122e-15,4.410635224979846948e-18
1.028480961650450263e+04,1.988113696854275934e-15,8.250934256479623723e-18
1.033103473021829996e+04,2.754059095492216263e-15,6.697609306376006419e-18
1.037725984393209728e+04,3.538178450616164777e-15,6.877473557178017792e-18
1.042348495764589461e+04,4.249712205186234067e-15,7.614855122393088160e-18
1.046971007135969194e+04,5.361706194733887243e-15,1.169872666082630320e-17
1.051593518507349108e+04,7.300956791126282748e-15,2.169722977701490928e-17
1.056216029878728841e+04,1.066497228976936212e-14,3.206406360050863273e-17
1.060838541250108392e+04,1.464479001265704946e-14,3.140875613248015902e-17
1.065461052621488307e+04,1.827926099409587090e-14,2.541417011188981901e-17
1.070083563992868039e+04,2.196084277467268189e-14,3.747608492789680369e-17
1.074706075364247954e+04,2.839444064455712781e-14,7.360811332042953760e-17
1.079328586735627687e+04,4.080744608183838433e-14,1.293263123348676693e-16
1.083951098107007238e+04,6.045938241891535675e-14,1.704388339150188324e-16
1.088573609478387152e+04,8.043819849916042646e-14,1.310077871572363245e-16
1.093196120849766885e+04,9.597328428512971853e-14,7.070789864589153933e-17
1.097818632221146618e+04,1.080484625337089732e-13,8.222721891651696535e-17
1.102441143592526350e+04,1.243509382648979425e-13,1.218197337823017084e-16
1.107063654963906083e+04,1.453447599038518062e-13,1.423627202161084334e-16
1.111686166335285816e+04,1.639070527472197082e-13,8.954062560308355304e-17
1.116308677706665731e+04,1.768941107700503175e-13,5.111787165824727773e-17
1.120931189078045463e+04,1.810181911719783658e-13,5.889353033305439888e-17
1.125553700449425196e+04,1.862070447920937943e-13,5.402969832360530889e-17
1.130176211820804929e+04,1.886998529843715812e-13,5.978554980183810981e-17
1.134798723192184661e+04,1.886051329959569454e-13,5.193232389623933755e-17
1.139421234563564394e+04,1.948715973920669149e-13,7.271837484556975229e-17
1.144043745934944309e+04,1.945516966687960095e-13,7.490812801576952200e-17
1.148666257306323860e+04,1.983180915510957078e-13,5.750044288342104004e-17
1.153288768677703774e+04,2.006179774231934187e-13,6.851929384068830615e-17
1.157911280049083507e+04,2.002759038694963915e-13,6.901277211274829748e-17
1.162533791420463240e+04,2.023093929679878480e-13,7.524404437462312410e-17
1.167156302791842973e+04,2.036238865982805059e-13,5.899674262656350456e-17
1.171778814163222705e+04,2.065776142167935950e-13,5.907560489882197531e-17
1.176401325534602620e+04,2.109874250036584673e-13,5.616948564436749914e-17
1.181023836905982353e+04,2.144172851775907268e-13,7.352648797834713379e-17
1.185646348277362085e+04,2.154146313045344574e-13,7.829271314441194724e-17
1.190268859648741636e+04,2.181833859177892019e-13,5.730022653131432951e-17
1.194891371020121551e+04,2.194179377075235143e-13,5.964887192875429991e-17
1.199513882391501284e+04,2.224834742227127710e-13,8.079101314119620663e-17
1.204136393762881198e+04,2.230557526079185724e-13,6.397926340629689364e-17
1.208758905134260931e+04,2.268657191585076430e-13,6.507336422394626477e-17
1.213381416505640482e+04,2.290836253835407306e-13,7.216337005469619625e-17
1.218003927877020396e+04,2.299247982574834429e-13,5.581745137631115406e-17
1.222626439248400129e+04,2.344208786791772616e-13,7.061859328860327678e-17
1.227248950619780044e+04,2.367544899373627405e-13,6.979428973694104405e-17
1.231871461991159595e+04,2.371178838079383509e-13,7.304637807018875862e-17
1.236493973362539327e+04,2.397558249535029917e-13,6.858669680937482092e-17
1.241116484733919060e+04,2.412431706910273221e-13,7.137596197266914039e-17
1.245738996105298975e+04,2.399959333999958031e-13,8.592761119094916038e-17
1.250361507476678707e+04,2.419343522815538064e-13,7.088064900575010971e-17
1.254984018848058440e+04,2.421370161892892550e-13,8.637348508438239257e-17
1.259606530219438173e+04,2.422963714117157111e-13,8.773700689156162278e-17
1.264229041590817906e+04,2.421243606007481037e-13,7.704734342169253375e-17
1.268851552962197820e+04,2.431972102630704945e-13,7.765240947119112233e-17
1.273474064333577553e+04,2.422226838299026040e-13,7.614572075626572365e-17
1.278096575704957286e+04,2.432577910722719178e-13,7.168330222086207180e-17
1.282719087076337019e+04,2.446934164082113920e-13,6.620910595513072894e-17
1.287341598447716751e+04,2.464576420939746140e-13,7.167512480588741619e-17
1.291964109819096484e+04,2.499711607684051359e-13,7.216783067893102391e-17
1.296586621190476217e+04,2.499918828301626128e-13,7.514449970686410962e-17
1.301209132561855949e+04,2.453109565324237035e-13,7.868908387740147501e-17
1.305831643933235864e+04,2.545100737640407903e-13,8.359801959480770146e-17
1.310454155304615597e+04,2.535741410180087017e-13,9.574342082041184505e-17
1.315076666675995330e+04,2.530706370444338779e-13,1.077680389725155432e-16
1.319699178047374880e+04,2.524004467304693431e-13,5.722846768891050534e-17
1.324321689418754795e+04,2.588671059855753717e-13,7.506882432647513905e-17
1.328944200790134710e+04,2.605057903269032329e-13,8.763545013345964666e-17
1.333566712161514442e+04,2.602494155729404235e-13,8.507946562181697493e-17
1.338189223532894175e+04,2.617515581537935505e-13,8.333605896397267454e-17
1.342811734904273726e+04,2.600006997308926639e-13,9.206057289384707174e-17
1.347434246275653641e+04,2.607292199191654153e-13,8.010880486843063738e-17
1.352056757647033373e+04,2.612178024129279166e-13,8.951116842597449386e-17
1.356679269018413288e+04,2.604650990077490425e-13,8.114957580634208739e-17
