Wavelength,Flux,FluxErr
9.706248087634498006e+03,3.604940055261761626e-17,1.366062343489123001e-18
9.752511913531241589e+03,7.103376293632822891e-17,1.833623546056026265e-18
9.798775739427981534e+03,1.227828249462298399e-16,2.588559653134811727e-18
9.845039565324723299e+03,1.777524664379119715e-16,2.336000814881480381e-18
9.891303391221463244e+03,2.271925941533068893e-16,3.257019610777499564e-18
9.937567217118205008e+03,2.411479547364481361e-16,2.816130265243976104e-18
9.983831043014944953e+03,2.729752791782578065e-16,2.733386082040017983e-18
1.003009486891168672e+04,3.348080267528377117e-16,3.042159789381342205e-18
1.007635869480842848e+04,4.440162463067248186e-16,2.289320731876609899e-18
1.012262252070516843e+04,5.357869217329090299e-16,4.185327193741687907e-18
1.016888634660191201e+04,6.175862137576695369e-16,3.554235896928496542e-18
1.021515017249865195e+04,7.441614841172105862e-16,3.408511874481824875e-18
1.026141399839539372e+04,9.483138581608129209e-16,3.871033202914427142e-18
1.030767782429213366e+04,1.316574586938837263e-15,4.590124208221196962e-18
1.035394165018887543e+04,1.760427549412889620e-15,4.014694235511690499e-18
1.040020547608561537e+04,2.208048366048945145e-15,4.588760918244598541e-18
1.044646930198235714e+04,2.700277343397348069e-15,4.915509099890340269e-18
1.049273312787909708e+04,3.506471883028519468e-15,8.594384065391986483e-18
1.053899695377584067e+04,4.993729729772153346e-15,1.332903098960884759e-17
1.058526077967258061e+04,7.171422779964766688e-15,1.726634838822023451e-17
1.063152460556932238e+04,9.583122199808891942e-15,1.375954918784494138e-17
1.067778843146606232e+04,1.145022853113467796e-14,1.572774465949033602e-17
1.072405225736280408e+04,1.419034896638920626e-14,2.768103075174348053e-17
1.077031608325954585e+04,1.927118335208447608e-14,4.979563145018400651e-17
1.081657990915628579e+04,2.841088380179680505e-14,8.020557964272378204e-17
1.086284373505302574e+04,4.085407788039892558e-14,8.299058935666383887e-17
1.090910756094976932e+04,5.229061640113272846e-14,5.737499799800104455e-17
1.095537138684651109e+04,5.927360592269746600e-14,4.473678266043329309e-17
1.100163521274325103e+04,6.764644235469116565e-14,6.645559410543036871e-17
1.104789903863999280e+04,7.867462006210390982e-14,8.506504317568362280e-17
1.109416286453673274e+04,9.120362871912719988e-14,7.602127090955503992e-17
1.114042669043347450e+04,1.012529226931603283e-13,4.814907857419975553e-17
1.118669051633021445e+04,1.059881346649955875e-13,2.465377648983423343e-17
1.123295434222695621e+04,1.093561605786255841e-13,2.179447239839648822e-17
1.127921816812369616e+04,1.100730414862225661e-13,1.832971430475608341e-17
1.132548199402043974e+04,1.127064464732635469e-13,2.444794059193017695e-17
1.137174581991717969e+04,1.149457421101130943e-13,2.148665954176559233e-17
1.141800964581392145e+04,1.133882522898145428e-13,2.492341868085889690e-17
1.146427347171066322e+04,1.143779124107189643e-13,2.853652479895964340e-17
1.151053729760740316e+04,1.181871086018223783e-13,2.609485472254284401e-17
1.155680112350414311e+04,1.202580843502660318e-13,2.635650904232641830e-17
