Wavelength,Flux,FluxErr
1.101877429702205882e+04,9.028567498971533831e-14,8.707643831874767708e-16
1.106456492707445796e+04,9.000140756054167656e-14,7.186714848091044663e-16
1.111035555712685709e+04,9.299932956383144904e-14,5.503819360561356853e-16
1.115614618717925623e+04,9.653939785785748140e-14,4.031892079172291193e-16
1.120193681723165537e+04,9.823934413168809551e-14,2.499605851501729520e-16
1.124772744728405632e+04,1.004559905772974078e-13,1.139519569868100637e-16
1.129351807733645546e+04,1.016907424071940066e-13,1.437258697553449464e-16
1.133930870738885460e+04,1.013280428209077749e-13,1.532401335398149408e-16
1.138509933744125192e+04,1.004825786413644085e-13,2.537735294501386910e-16
1.143088996749365106e+04,9.455048620028394506e-14,3.715416584089861944e-16
1.147668059754605019e+04,9.038293563446417546e-14,5.159986462171305822e-16
1.152247122759844933e+04,9.954791518395652469e-14,2.131023037682943313e-16
1.156826185765084847e+04,1.037462348078525068e-13,4.633805006040028588e-17
1.161405248770324761e+04,1.026575842234533782e-13,2.728617326606352534e-17
1.165984311775564674e+04,1.016943134072604420e-13,8.217828421180686490e-17
1.170563374780804588e+04,1.000950787017060254e-13,1.381980897474047227e-16
1.175142437786044684e+04,9.654987628048979389e-14,2.460303149867583473e-16
1.179721500791284598e+04,9.541175609107917277e-14,1.973242501188093979e-16
1.184300563796524511e+04,9.084782824781607056e-14,2.661979687247129035e-16
1.188879626801764243e+04,9.597309396297743732e-14,1.317280039548295950e-16
1.193458689807004157e+04,9.665322163483315440e-14,1.505301383256572999e-16
1.198037752812244071e+04,9.690719893173630020e-14,2.234212480777384673e-16
1.202616815817483985e+04,9.268144975103152887e-14,3.781037930942346989e-16
1.207195878822723898e+04,9.136658264578381734e-14,4.676769840229893488e-16
1.211774941827963812e+04,9.547344289089190450e-14,3.701750219861291442e-16
1.216354004833203726e+04,9.643571210400814794e-14,3.027481161613275800e-16
1.220933067838443458e+04,9.840108544813571434e-14,1.991660532229713088e-16
1.225512130843683553e+04,9.777791058624447934e-14,9.727551157076519850e-17
1.230091193848923467e+04,1.006131709221822703e-13,1.469234527894303778e-16
1.234670256854163381e+04,1.001430715966695860e-13,1.408063897629732550e-16
1.239249319859403295e+04,9.861820076199549234e-14,1.339229271658111129e-16
1.243828382864643208e+04,9.733756486023002382e-14,1.775453898350313244e-16
1.248407445869883122e+04,9.286273868028660321e-14,3.706763622596087938e-16
1.252986508875123036e+04,9.404547252392143552e-14,3.464992154568383267e-16
1.257565571880362950e+04,9.303303239350407020e-14,4.175481596443775958e-16
1.262144634885602864e+04,9.822598672684929888e-14,2.895769550680266509e-16
1.266723697890842777e+04,1.004657842810877652e-13,2.474493159236113470e-16
1.271302760896082509e+04,9.973101300871815829e-14,2.289592760236977062e-16
1.275881823901322605e+04,1.004297346769220018e-13,2.240224889087514386e-16
1.280460886906562519e+04,1.001675428973541239e-13,2.159653888162690284e-16
1.285039949911802432e+04,1.007188840031159733e-13,1.952202509891663209e-16
1.289619012917042346e+04,1.007001130044843157e-13,1.921411606197044165e-16
1.294198075922282260e+04,1.023478231464096507e-13,1.632707565834188659e-16
1.298777138927522174e+04,1.022682664598383930e-13,7.267337580146145619e-17
1.303356201932761905e+04,1.018466350185270448e-13,3.949253021952948433e-17
1.307935264938001819e+04,1.001616164338234134e-13,6.294141575949100711e-17
1.312514327943241733e+04,1.003860902031453010e-13,2.162324583409971578e-16
1.317093390948481647e+04,9.766291306682675163e-14,4.596025680578150288e-16
1.321672453953721561e+04,9.859245369694179082e-14,7.873277627488341669e-16
1.326251516958961656e+04,9.784933562777882225e-14,9.378647854675962614e-16
1.330830579964201570e+04,9.496566520436734465e-14,9.410298901657148755e-16
1.335409642969441484e+04,8.743996375182775238e-14,7.083821029983528203e-16
1.339988705974681397e+04,7.840414976758179566e-14,3.524209747106671561e-16
1.344567768979921311e+04,7.549327883191087998e-14,2.254320227130402963e-16
1.349146831985161225e+04,7.189899603710340307e-14,1.459079229060331349e-16
1.353725894990401139e+04,6.968048383227388436e-14,7.943664319671948936e-17
1.358304957995641053e+04,6.786532052695270015e-14,4.368288113842377929e-17
1.362884021000880784e+04,6.816831010183882797e-14,5.840327809392594195e-17
