Wavelength,Flux,FluxErr
9.767630133307506185e+03,5.062723798549179069e-18,3.132909861696037151e-19
9.814059940891018414e+03,1.397978798071177446e-17,5.758352582788398025e-19
9.860489748474532462e+03,2.602401269021289980e-17,6.938288860673265539e-19
9.906919556058044691e+03,3.228398461385265601e-17,7.408135309360144169e-19
9.953349363641558739e+03,4.053066398796560509e-17,1.025052769133707813e-18
9.999779171225070968e+03,5.780578838146729924e-17,1.280958602834831588e-18
1.004620897880858502e+04,8.965680933217455982e-17,7.765721536827319546e-19
1.009263878639209724e+04,1.285045484452534053e-16,9.141473071983421568e-19
1.013906859397561129e+04,1.572915426438951132e-16,8.821757874478345197e-19
1.018549840155912352e+04,1.924231210567959923e-16,1.138264284783000905e-18
1.023192820914263757e+04,2.434611137485271105e-16,1.404107540213464909e-18
1.027835801672614980e+04,3.303065988086702066e-16,1.641063032596244933e-18
1.032478782430966385e+04,4.824523494110510925e-16,1.577798691993238625e-18
1.037121763189317608e+04,6.208698035028730561e-16,1.802118931248158039e-18
1.041764743947668831e+04,7.601690432622886774e-16,1.637739365959872231e-18
1.046407724706020235e+04,9.379211166803349242e-16,2.350879205259075896e-18
1.051050705464371458e+04,1.288896403662934168e-15,3.421202551874652917e-18
1.055693686222722863e+04,1.894418320096879645e-15,5.265796234934309815e-18
1.060336666981074086e+04,2.649559253284884397e-15,5.786696615332953055e-18
1.064979647739425491e+04,3.325819318354486834e-15,5.052210871212639368e-18
1.069622628497776714e+04,3.904257815113881992e-15,6.231419380095278973e-18
1.074265609256128118e+04,5.008593305335003784e-15,1.119702058107949344e-17
1.078908590014479341e+04,7.126735461704164721e-15,1.934960483542099063e-17
1.083551570772830746e+04,1.053321290447079118e-14,2.728534394274956692e-17
1.088194551531181969e+04,1.427069684340971511e-14,2.513792498816925062e-17
1.092837532289533192e+04,1.663411512559657201e-14,1.551206308440134108e-17
1.097480513047884597e+04,1.821700887148608218e-14,1.502484311114820831e-17
1.102123493806236002e+04,2.091258278427533718e-14,2.834121981484135794e-17
1.106766474564587224e+04,2.492597396095611826e-14,3.169862172355681697e-17
1.111409455322938447e+04,2.879884066784292283e-14,2.501410740435735931e-17
1.116052436081289852e+04,3.067650364059233351e-14,1.807430020643438428e-17
1.120695416839641075e+04,3.174282704141235257e-14,1.287000126117659503e-17
1.125338397597992480e+04,3.222487732305511277e-14,1.345970599689248996e-17
1.129981378356343703e+04,3.228877133654810012e-14,1.096339764593798270e-17
1.134624359114695108e+04,3.299282714971386185e-14,1.008639439275695234e-17
1.139267339873046330e+04,3.335642631988418479e-14,1.227777309818966821e-17
1.143910320631397553e+04,3.342929838935391443e-14,1.210223783264047667e-17
1.148553301389748958e+04,3.370112956848136811e-14,1.223210102969262672e-17
1.153196282148100363e+04,3.374674195084823001e-14,1.018634563876511333e-17
1.157839262906451586e+04,3.380903603402728791e-14,1.137365668084503310e-17
1.162482243664802809e+04,3.358160055865216756e-14,1.228130924383406287e-17
1.167125224423154214e+04,3.375454792940258122e-14,1.186941607766924723e-17
1.171768205181505436e+04,3.400430875766200005e-14,1.221450203698000405e-17
1.176411185939856841e+04,3.462141532991768481e-14,1.049442011734673091e-17
